"";"instant";"dteday";"season";"yr";"mnth";"hr";"holiday";"weekday";"workingday";"weathersit";"temp";"atemp";"hum";"windspeed";"casual";"registered";"cnt"
"8401";8401;"2011-12-21";1;0;12;16;0;3;1;3;0,44;0,4394;1;0,3284;6;95;101
"6455";6455;"2011-10-01";4;0;10;12;0;6;0;2;0,4;0,4091;0,82;0,2537;28;130;158
"6900";6900;"2011-10-20";4;0;10;2;0;4;1;1;0,56;0,5303;0,88;0,4478;0;4;4
"13189";13189;"2012-07-08";3;1;7;17;0;0;0;1;0,78;0,7424;0,59;0;68;202;270
"1132";1132;"2011-02-19";1;0;2;21;0;6;0;1;0,32;0,2727;0,26;0,5522;4;29;33
"14471";14471;"2012-08-31";3;1;8;3;0;5;1;1;0,66;0,5909;0,89;0,1045;3;2;5
"1065";1065;"2011-02-17";1;0;2;2;0;4;1;2;0,34;0,3182;0,53;0,2239;2;4;6
"3940";3940;"2011-06-18";2;0;6;1;0;6;0;1;0,62;0,5758;0,83;0,1045;15;80;95
"15180";15180;"2012-09-29";4;1;9;16;0;6;0;1;0,62;0,6212;0,41;0,2537;275;447;722
"4627";4627;"2011-07-16";3;0;7;16;0;6;0;1;0,76;0,6818;0,45;0,2836;183;242;425
"8450";8450;"2011-12-23";1;0;12;17;0;5;1;1;0,36;0,3485;0,53;0,2239;11;129;140
"1503";1503;"2011-03-07";1;0;3;23;0;1;1;1;0,28;0,3182;0,48;0;0;22;22
"8052";8052;"2011-12-07";4;0;12;3;0;3;1;3;0,46;0,4545;1;0,2239;0;3;3
"17305";17305;"2012-12-28";1;1;12;21;0;5;1;2;0,24;0,2424;0,7;0,1343;17;75;92
"7438";7438;"2011-11-11";4;0;11;12;1;5;0;1;0,34;0,2879;0,42;0,4627;41;198;239
"8762";8762;"2012-01-05";1;1;1;21;0;4;1;1;0,26;0,2727;0,6;0,1343;9;88;97
"7133";7133;"2011-10-29";4;0;10;19;0;6;0;1;0,24;0,2121;0,87;0,3582;3;36;39
"13008";13008;"2012-07-01";3;1;7;4;0;0;0;1;0,7;0,6667;0,79;0,194;0;4;4
"17049";17049;"2012-12-18";4;1;12;3;0;2;1;1;0,42;0,4242;0,88;0,194;0;5;5
"9582";9582;"2012-02-09";1;1;2;4;0;4;1;2;0,22;0,197;0,75;0,4478;0;1;1
"11566";11566;"2012-05-02";2;1;5;2;0;3;1;1;0,56;0,5303;0,83;0;7;9;16
"675";675;"2011-01-31";1;0;1;10;0;1;1;2;0,16;0,1515;0,59;0,194;1;68;69
"14501";14501;"2012-09-01";3;1;9;9;0;6;0;2;0,76;0,7121;0,58;0,194;62;175;237
"2905";2905;"2011-05-05";2;0;5;22;0;4;1;1;0,48;0,4697;0,39;0,194;30;135;165
"6334";6334;"2011-09-26";4;0;9;11;0;1;1;1;0,68;0,6364;0,79;0,2239;43;116;159
"17018";17018;"2012-12-16";4;1;12;20;0;0;0;2;0,38;0,3939;0,82;0;14;108;122
"17186";17186;"2012-12-23";1;1;12;20;0;0;0;1;0,26;0,303;0,65;0;0;52;52
"1891";1891;"2011-03-24";2;0;3;13;0;4;1;2;0,32;0,303;0,7;0,2239;11;90;101
"4099";4099;"2011-06-24";3;0;6;16;0;5;1;1;0,8;0,697;0,33;0,4179;80;247;327
"12148";12148;"2012-05-26";2;1;5;8;0;6;0;1;0,64;0,5909;0,78;0,1343;38;103;141
"2717";2717;"2011-04-28";2;0;4;2;0;4;1;2;0,62;0,5758;0,83;0,4478;14;7;21
"501";501;"2011-01-22";1;0;1;22;0;6;0;1;0,06;0,1515;0,49;0;7;23;30
"8997";8997;"2012-01-15";1;1;1;17;0;0;0;1;0,22;0,2121;0,25;0,2537;15;131;146
"9181";9181;"2012-01-23";1;1;1;10;0;1;1;2;0,2;0,2576;0,93;0;10;139;149
"16909";16909;"2012-12-12";4;1;12;7;0;3;1;2;0,26;0,2576;0,6;0,194;3;366;369
"12031";12031;"2012-05-21";2;1;5;11;0;1;1;2;0,6;0,5606;0,83;0,1642;24;82;106
"7773";7773;"2011-11-25";4;0;11;11;0;5;1;1;0,4;0,4091;0,66;0,1045;99;127;226
"6721";6721;"2011-10-12";4;0;10;14;0;3;1;3;0,54;0,5152;0,94;0,2836;8;70;78
"9022";9022;"2012-01-16";1;1;1;18;1;1;0;1;0,26;0,2273;0,52;0,3284;6;175;181
"10964";10964;"2012-04-06";2;1;4;23;0;5;1;1;0,42;0,4242;0,3;0,2836;21;92;113
"9060";9060;"2012-01-18";1;1;1;9;0;3;1;1;0,28;0,2576;0,52;0,3284;6;196;202
"14197";14197;"2012-08-19";3;1;8;17;0;0;0;2;0,64;0,5909;0,78;0,1045;76;267;343
"3662";3662;"2011-06-06";2;0;6;11;0;1;1;1;0,74;0,6667;0,42;0,1343;39;72;111
"5217";5217;"2011-08-10";3;0;8;6;0;3;1;1;0,68;0,6364;0,61;0;9;110;119
"2340";2340;"2011-04-12";2;0;4;9;0;2;1;3;0,46;0,4545;0,94;0,4925;4;50;54
"29";29;"2011-01-02";1;0;1;4;0;0;0;2;0,46;0,4545;0,94;0,194;2;1;3
"16524";16524;"2012-11-26";4;1;11;5;0;1;1;1;0,22;0,2273;0,69;0,1642;0;41;41
"16954";16954;"2012-12-14";4;1;12;4;0;5;1;1;0,2;0,2273;0,75;0,0896;1;9;10
"3056";3056;"2011-05-12";2;0;5;5;0;4;1;1;0,42;0,4242;0,94;0,1343;2;27;29
"15819";15819;"2012-10-26";4;1;10;7;0;5;1;2;0,52;0,5;0,88;0,1045;13;408;421
"4474";4474;"2011-07-10";3;0;7;7;0;0;0;1;0,7;0,6515;0,7;0,0896;27;38;65
"13960";13960;"2012-08-09";3;1;8;20;0;4;1;1;0,7;0,6515;0,54;0,2836;91;387;478
"15508";15508;"2012-10-13";4;1;10;8;0;6;0;1;0,34;0,3485;0,53;0,1045;23;151;174
"6004";6004;"2011-09-12";3;0;9;17;0;1;1;1;0,72;0,6667;0,51;0,1642;75;515;590
"537";537;"2011-01-24";1;0;1;12;0;1;1;2;0,12;0,1364;0,42;0,194;11;52;63
"12435";12435;"2012-06-07";2;1;6;7;0;4;1;1;0,5;0,4848;0,82;0,1642;20;506;526
"16627";16627;"2012-11-30";4;1;11;13;0;5;1;2;0,4;0,4091;0,4;0,1642;21;241;262
"12193";12193;"2012-05-28";2;1;5;5;1;1;0;1;0,6;0,5758;0,78;0,1343;4;5;9
"4492";4492;"2011-07-11";3;0;7;1;0;1;1;1;0,7;0,6515;0,61;0,2836;5;5;10
"16365";16365;"2012-11-19";4;1;11;14;0;1;1;1;0,44;0,4394;0,54;0,2537;47;170;217
"15339";15339;"2012-10-06";4;1;10;7;0;6;0;1;0,54;0,5152;0,83;0,2985;13;71;84
"13419";13419;"2012-07-18";3;1;7;7;0;3;1;1;0,74;0,697;0,66;0,1642;23;472;495
"14589";14589;"2012-09-05";3;1;9;1;0;3;1;1;0,7;0,6667;0,84;0,194;2;11;13
"14744";14744;"2012-09-11";3;1;9;12;0;2;1;1;0,64;0,6212;0,33;0;62;254;316
"2953";2953;"2011-05-07";2;0;5;22;0;6;0;1;0,54;0,5152;0,49;0,194;26;94;120
"11539";11539;"2012-04-30";2;1;4;23;0;1;1;2;0,52;0,5;0,55;0,2239;10;50;60
"14117";14117;"2012-08-16";3;1;8;9;0;4;1;1;0,72;0,6667;0,54;0,1045;41;296;337
"2047";2047;"2011-03-31";2;0;3;3;0;4;1;3;0,24;0,2273;0,93;0,2239;0;1;1
"14793";14793;"2012-09-13";3;1;9;13;0;4;1;1;0,7;0,6364;0,42;0;60;223;283
"15627";15627;"2012-10-18";4;1;10;7;0;4;1;1;0,44;0,4394;0,88;0,2537;20;488;508
"6442";6442;"2011-09-30";4;0;9;23;0;5;1;1;0,52;0,5;0,55;0,3284;23;109;132
"6628";6628;"2011-10-08";4;0;10;17;0;6;0;1;0,62;0,6212;0,5;0,1343;174;219;393
"10918";10918;"2012-04-05";2;1;4;1;0;4;1;1;0,48;0,4697;0,27;0,3284;4;9;13
"1255";1255;"2011-02-25";1;0;2;10;0;5;1;3;0,42;0,4242;0,94;0,3284;7;42;49
"7392";7392;"2011-11-09";4;0;11;14;0;3;1;1;0,52;0,5;0,48;0,1642;26;153;179
"5319";5319;"2011-08-14";3;0;8;12;0;0;0;2;0,7;0,6667;0,79;0,2239;98;183;281
"14834";14834;"2012-09-15";3;1;9;6;0;6;0;1;0,54;0,5152;0,49;0,4179;6;27;33
"1616";1616;"2011-03-12";1;0;3;19;0;6;0;1;0,42;0,4242;0,54;0,0896;26;86;112
"9867";9867;"2012-02-21";1;1;2;2;0;2;1;1;0,24;0,2879;0,6;0;0;3;3
"5786";5786;"2011-09-03";3;0;9;12;0;6;0;1;0,7;0,6515;0,61;0,2239;97;160;257
"7753";7753;"2011-11-24";4;0;11;15;1;4;0;1;0,5;0,4848;0,31;0,2537;78;71;149
"2449";2449;"2011-04-16";2;0;4;22;0;6;0;3;0,42;0,4242;1;0;2;22;24
"16237";16237;"2012-11-14";4;1;11;6;0;3;1;1;0,24;0,2273;0,65;0,194;4;142;146
"14977";14977;"2012-09-21";3;1;9;5;0;5;1;1;0,5;0,4848;0,82;0;2;47;49
"6075";6075;"2011-09-15";3;0;9;16;0;4;1;2;0,54;0,5152;0,77;0,4627;29;193;222
"4813";4813;"2011-07-24";3;0;7;10;0;0;0;1;0,86;0,8182;0,5;0,3284;61;165;226
"16301";16301;"2012-11-16";4;1;11;22;0;5;1;1;0,32;0,303;0,53;0,2537;23;139;162
"5721";5721;"2011-08-31";3;0;8;19;0;3;1;1;0,84;0,7727;0,47;0,2537;53;393;446
"14251";14251;"2012-08-21";3;1;8;23;0;2;1;1;0,62;0,5758;0,83;0;23;113;136
"13694";13694;"2012-07-29";3;1;7;18;0;0;0;1;0,8;0,7121;0,41;0,2985;117;302;419
"8844";8844;"2012-01-09";1;1;1;7;0;1;1;2;0,22;0,2424;0,6;0,1045;1;239;240
"11531";11531;"2012-04-30";2;1;4;15;0;1;1;2;0,52;0,5;0,55;0,1045;55;176;231
"12632";12632;"2012-06-15";2;1;6;12;0;5;1;1;0,7;0,6364;0,45;0,1642;111;292;403
"8226";8226;"2011-12-14";4;0;12;9;0;3;1;2;0,3;0,3333;0,61;0;9;230;239
"12162";12162;"2012-05-26";2;1;5;22;0;6;0;1;0,7;0,6667;0,74;0,2537;86;118;204
"8799";8799;"2012-01-07";1;1;1;10;0;6;0;1;0,28;0,303;0,75;0,0896;43;160;203
"10796";10796;"2012-03-30";2;1;3;22;0;5;1;1;0,36;0,3485;0,71;0,1642;23;130;153
"12292";12292;"2012-06-01";2;1;6;8;0;5;1;2;0,64;0,5758;0,89;0,194;19;675;694
"1832";1832;"2011-03-22";2;0;3;1;0;2;1;1;0,42;0,4242;1;0,1343;6;13;19
"3384";3384;"2011-05-25";2;0;5;21;0;3;1;1;0,66;0,6212;0,69;0,1343;33;203;236
"13410";13410;"2012-07-17";3;1;7;22;0;2;1;1;0,8;0,7576;0,55;0,2239;29;215;244
"11561";11561;"2012-05-01";2;1;5;21;0;2;1;1;0,64;0,6061;0,65;0,1343;31;251;282
"11685";11685;"2012-05-07";2;1;5;1;0;1;1;2;0,52;0,5;0,77;0,194;1;8;9
"16669";16669;"2012-12-02";4;1;12;7;0;0;0;2;0,24;0,2424;0,93;0,1343;5;26;31
"8810";8810;"2012-01-07";1;1;1;21;0;6;0;1;0,44;0,4394;0,44;0,2239;22;118;140
"12538";12538;"2012-06-11";2;1;6;14;0;1;1;2;0,82;0,7273;0,34;0,2836;66;193;259
"12497";12497;"2012-06-09";2;1;6;21;0;6;0;1;0,74;0,6515;0,4;0,194;105;211;316
"996";996;"2011-02-14";1;0;2;3;0;1;1;1;0,34;0,3182;0,46;0,2239;1;1;2
"16381";16381;"2012-11-20";4;1;11;6;0;2;1;2;0,34;0,3333;0,71;0,1642;2;146;148
"16769";16769;"2012-12-06";4;1;12;11;0;4;1;1;0,26;0,2576;0,48;0,1642;16;162;178
"14352";14352;"2012-08-26";3;1;8;4;0;0;0;2;0,64;0,5758;0,89;0,194;5;11;16
"5734";5734;"2011-09-01";3;0;9;8;0;4;1;1;0,62;0,5909;0,73;0,1343;31;467;498
"6411";6411;"2011-09-29";4;0;9;16;0;4;1;1;0,68;0,6364;0,41;0,3582;64;227;291
"15254";15254;"2012-10-02";4;1;10;18;0;2;1;3;0,62;0,5455;0,94;0,0896;48;639;687
"3625";3625;"2011-06-04";2;0;6;22;0;6;0;1;0,64;0,6212;0,57;0,2239;49;141;190
"4906";4906;"2011-07-28";3;0;7;7;0;4;1;1;0,72;0,6818;0,7;0,1642;27;278;305
"4479";4479;"2011-07-10";3;0;7;12;0;0;0;1;0,82;0,7576;0,46;0,2836;133;244;377
"16023";16023;"2012-11-05";4;1;11;7;0;1;1;2;0,3;0,2879;0,49;0,2537;8;453;461
"16162";16162;"2012-11-11";4;1;11;3;0;0;0;1;0,34;0,3636;0,81;0;9;39;48
"13942";13942;"2012-08-09";3;1;8;2;0;4;1;1;0,7;0,6667;0,84;0,0896;2;12;14
"11283";11283;"2012-04-20";2;1;4;7;0;5;1;1;0,42;0,4242;0,94;0;9;350;359
"3559";3559;"2011-06-02";2;0;6;4;0;4;1;1;0,66;0,6212;0,41;0,194;0;3;3
"10338";10338;"2012-03-11";1;1;3;20;0;0;0;1;0,44;0,4394;0,47;0,2239;42;129;171
"14213";14213;"2012-08-20";3;1;8;9;0;1;1;2;0,64;0,6061;0,69;0;55;302;357
"4672";4672;"2011-07-18";3;0;7;13;0;1;1;1;0,82;0,7879;0,56;0,2537;27;125;152
"13190";13190;"2012-07-08";3;1;7;18;0;0;0;1;0,78;0,7424;0,62;0,1045;54;199;253
"12347";12347;"2012-06-03";2;1;6;15;0;0;0;1;0,7;0,6364;0,34;0;236;408;644
"4183";4183;"2011-06-28";3;0;6;4;0;2;1;1;0,66;0,6212;0,74;0;1;7;8
"16389";16389;"2012-11-20";4;1;11;14;0;2;1;2;0,44;0,4394;0,58;0,1045;47;177;224
"296";296;"2011-01-13";1;0;1;18;0;4;1;1;0,2;0,1818;0,4;0,3284;3;141;144
"10862";10862;"2012-04-02";2;1;4;17;0;1;1;1;0,5;0,4848;0,29;0,2836;128;601;729
"13195";13195;"2012-07-08";3;1;7;23;0;0;0;3;0,68;0,6364;0,83;0,0896;25;98;123
"8895";8895;"2012-01-11";1;1;1;11;0;3;1;2;0,26;0,2879;0,87;0,0896;9;90;99
"9722";9722;"2012-02-15";1;1;2;0;0;3;1;1;0,32;0,3485;0,57;0;0;22;22
"5969";5969;"2011-09-11";3;0;9;5;0;0;0;1;0,6;0,5606;0,83;0,1343;15;24;39
"9998";9998;"2012-02-26";1;1;2;14;0;0;0;1;0,34;0,3485;0,31;0;68;263;331
"10115";10115;"2012-03-02";1;1;3;12;0;5;1;1;0,4;0,4091;0,43;0,1642;40;194;234
"13076";13076;"2012-07-04";3;1;7;0;1;3;0;1;0,68;0,6364;0,79;0,0896;19;140;159
"1547";1547;"2011-03-09";1;0;3;19;0;3;1;2;0,34;0,303;0,76;0,3284;11;123;134
"9174";9174;"2012-01-23";1;1;1;3;0;1;1;2;0,18;0,2424;0,86;0;0;1;1
"3576";3576;"2011-06-02";2;0;6;21;0;4;1;1;0,66;0,6212;0,31;0,194;33;215;248
"14205";14205;"2012-08-20";3;1;8;1;0;1;1;1;0,6;0,5606;0,83;0,1642;0;10;10
"7153";7153;"2011-10-30";4;0;10;15;0;0;0;1;0,42;0,4242;0,35;0,1642;88;202;290
"9741";9741;"2012-02-15";1;1;2;19;0;3;1;1;0,38;0,3939;0,43;0,1642;9;302;311
"16581";16581;"2012-11-28";4;1;11;14;0;3;1;1;0,36;0,3333;0,4;0,2985;15;161;176
"8357";8357;"2011-12-19";4;0;12;20;0;1;1;1;0,4;0,4091;0,4;0,1642;9;197;206
"8721";8721;"2012-01-04";1;1;1;4;0;3;1;1;0,02;0,0455;0,41;0,194;0;2;2
"3325";3325;"2011-05-23";2;0;5;10;0;1;1;1;0,66;0,6212;0,74;0,2985;49;72;121
"13994";13994;"2012-08-11";3;1;8;6;0;6;0;2;0,62;0,5606;0,88;0,1045;5;18;23
"11885";11885;"2012-05-15";2;1;5;9;0;2;1;2;0,58;0,5455;0,88;0,0896;28;327;355
"6962";6962;"2011-10-22";4;0;10;16;0;6;0;1;0,5;0,4848;0,45;0,194;169;190;359
"12046";12046;"2012-05-22";2;1;5;2;0;2;1;2;0,58;0,5455;0,83;0,1045;1;10;11
"8428";8428;"2011-12-22";1;0;12;19;0;4;1;2;0,44;0,4394;0,62;0;12;130;142
"16898";16898;"2012-12-11";4;1;12;20;0;2;1;1;0,32;0,303;0,53;0,2239;9;248;257
"807";807;"2011-02-06";1;0;2;1;0;0;0;1;0,26;0,2273;0,65;0,4179;4;40;44
"5777";5777;"2011-09-03";3;0;9;3;0;6;0;1;0,62;0,5909;0,73;0,1642;17;18;35
"1400";1400;"2011-03-03";1;0;3;14;0;4;1;1;0,24;0,2576;0,21;0,1045;18;60;78
"16175";16175;"2012-11-11";4;1;11;16;0;0;0;1;0,54;0,5152;0,42;0,2239;260;393;653
"3927";3927;"2011-06-17";2;0;6;12;0;5;1;1;0,7;0,6515;0,65;0,2537;49;194;243
"9764";9764;"2012-02-16";1;1;2;18;0;4;1;3;0,34;0,3333;0,87;0,1343;8;345;353
"13101";13101;"2012-07-05";3;1;7;1;0;4;1;1;0,74;0,6667;0,51;0,2836;6;24;30
"13391";13391;"2012-07-17";3;1;7;3;0;2;1;1;0,72;0,6818;0,66;0;0;3;3
"3121";3121;"2011-05-14";2;0;5;22;0;6;0;3;0,54;0,5152;0,94;0,1642;7;19;26
"7096";7096;"2011-10-28";4;0;10;6;0;5;1;1;0,28;0,2727;0,65;0,2537;1;74;75
"2865";2865;"2011-05-04";2;0;5;6;0;3;1;3;0,34;0,303;0,93;0,3881;0;21;21
"417";417;"2011-01-19";1;0;1;9;0;3;1;2;0,24;0,2576;0,93;0,1045;2;107;109
"10528";10528;"2012-03-19";1;1;3;18;0;1;1;1;0,64;0,6212;0,57;0,2537;120;681;801
"17052";17052;"2012-12-18";4;1;12;6;0;2;1;1;0,36;0,3485;0,93;0,1642;1;117;118
"5061";5061;"2011-08-03";3;0;8;18;0;3;1;3;0,7;0,6667;0,84;0;49;443;492
"13297";13297;"2012-07-13";3;1;7;5;0;5;1;2;0,66;0,6364;0,56;0,0896;4;30;34
"11388";11388;"2012-04-24";2;1;4;16;0;2;1;1;0,5;0,4848;0,23;0,194;54;308;362
"12518";12518;"2012-06-10";2;1;6;18;0;0;0;1;0,82;0,7273;0,38;0,2239;164;326;490
"6723";6723;"2011-10-12";4;0;10;16;0;3;1;2;0,56;0,5303;0,88;0,2239;5;50;55
"16131";16131;"2012-11-09";4;1;11;20;0;5;1;1;0,36;0,3485;0,66;0,1343;20;235;255
"11889";11889;"2012-05-15";2;1;5;13;0;2;1;3;0,64;0,6061;0,73;0,194;35;204;239
"12028";12028;"2012-05-21";2;1;5;8;0;1;1;3;0,56;0,5303;0,88;0,2537;12;258;270
"7840";7840;"2011-11-28";4;0;11;7;0;1;1;1;0,42;0,4242;0,88;0;7;270;277
"14285";14285;"2012-08-23";3;1;8;9;0;4;1;2;0,7;0,6515;0,7;0;58;354;412
"4523";4523;"2011-07-12";3;0;7;8;0;2;1;1;0,76;0,7121;0,58;0,2239;35;382;417
"15085";15085;"2012-09-25";4;1;9;17;0;2;1;1;0,66;0,6212;0,39;0,2836;107;860;967
"3889";3889;"2011-06-15";2;0;6;22;0;3;1;1;0,62;0,6212;0,5;0,1045;31;144;175
"1614";1614;"2011-03-12";1;0;3;17;0;6;0;1;0,46;0,4545;0,44;0,3284;99;114;213
"1350";1350;"2011-03-01";1;0;3;12;0;2;1;1;0,3;0,303;0,39;0,1343;6;80;86
"990";990;"2011-02-13";1;0;2;21;0;0;0;1;0,4;0,4091;0,35;0,3582;6;45;51
"14310";14310;"2012-08-24";3;1;8;10;0;5;1;2;0,76;0,6818;0,48;0;78;184;262
"14364";14364;"2012-08-26";3;1;8;16;0;0;0;3;0,64;0,5758;0,89;0,2836;57;116;173
"16150";16150;"2012-11-10";4;1;11;15;0;6;0;1;0,52;0,5;0,45;0;216;351;567
"16347";16347;"2012-11-18";4;1;11;20;0;0;0;1;0,36;0,3485;0,66;0,1642;9;120;129
"1308";1308;"2011-02-27";1;0;2;16;0;0;0;1;0,48;0,4697;0,44;0,1642;98;170;268
"440";440;"2011-01-20";1;0;1;8;0;4;1;1;0,22;0,2121;0,55;0,2836;2;247;249
"14222";14222;"2012-08-20";3;1;8;18;0;1;1;2;0,62;0,5909;0,78;0,2537;89;726;815
"2441";2441;"2011-04-16";2;0;4;14;0;6;0;3;0,52;0,5;0,83;0,5821;14;49;63
"16115";16115;"2012-11-09";4;1;11;4;0;5;1;1;0,32;0,2879;0,53;0,3582;0;14;14
"9184";9184;"2012-01-23";1;1;1;13;0;1;1;3;0,22;0,2576;0,93;0,0896;5;32;37
"8389";8389;"2011-12-21";1;0;12;4;0;3;1;2;0,36;0,3788;0,71;0;0;2;2
"6780";6780;"2011-10-15";4;0;10;1;0;6;0;1;0,46;0,4545;0,55;0,2537;9;64;73
"10735";10735;"2012-03-28";2;1;3;9;0;3;1;1;0,4;0,4091;0,43;0,4478;16;298;314
"12979";12979;"2012-06-29";3;1;6;23;0;5;1;3;0,82;0,8333;0,63;0,194;6;42;48
"6909";6909;"2011-10-20";4;0;10;11;0;4;1;1;0,48;0,4697;0,55;0,5224;30;99;129
"16534";16534;"2012-11-26";4;1;11;15;0;1;1;1;0,42;0,4242;0,35;0,0896;49;181;230
"4816";4816;"2011-07-24";3;0;7;13;0;0;0;1;0,86;0,803;0,47;0,2239;90;162;252
"10074";10074;"2012-02-29";1;1;2;19;0;3;1;2;0,4;0,4091;0,87;0,1045;0;102;102
"11710";11710;"2012-05-08";2;1;5;2;0;2;1;2;0,52;0,5;0,63;0,2985;9;7;16
"1624";1624;"2011-03-13";1;0;3;4;0;0;0;1;0,34;0,3333;0,66;0,1642;4;9;13
"4921";4921;"2011-07-28";3;0;7;22;0;4;1;1;0,76;0,7273;0,7;0,2537;25;149;174
"6026";6026;"2011-09-13";3;0;9;15;0;2;1;1;0,74;0,6667;0,51;0,2985;35;145;180
"14628";14628;"2012-09-06";3;1;9;16;0;4;1;1;0,74;0,697;0,7;0,2239;42;374;416
"3411";3411;"2011-05-27";2;0;5;0;0;5;1;1;0,68;0,6364;0,69;0,2537;14;55;69
"2287";2287;"2011-04-10";2;0;4;3;0;0;0;2;0,38;0,3939;0,87;0,1343;5;11;16
"1558";1558;"2011-03-10";1;0;3;8;0;4;1;3;0,38;0,3939;0;0,2836;1;43;44
"14633";14633;"2012-09-06";3;1;9;21;0;4;1;1;0,64;0,5758;0,89;0,1642;32;240;272
"16246";16246;"2012-11-14";4;1;11;15;0;3;1;1;0,36;0,3333;0,43;0,2836;32;228;260
"9414";9414;"2012-02-02";1;1;2;3;0;4;1;2;0,42;0,4242;0,67;0,1343;0;2;2
"13108";13108;"2012-07-05";3;1;7;8;0;4;1;1;0,8;0,7424;0,49;0,1343;36;514;550
"752";752;"2011-02-03";1;0;2;17;0;4;1;1;0,2;0,197;0,4;0,194;5;170;175
"8108";8108;"2011-12-09";4;0;12;11;0;5;1;1;0,32;0,303;0,7;0,2537;15;121;136
"9610";9610;"2012-02-10";1;1;2;8;0;5;1;1;0,2;0,2121;0,59;0,1642;1;447;448
"12693";12693;"2012-06-18";2;1;6;1;0;1;1;1;0,54;0,5152;0,77;0,2239;9;5;14
"17352";17352;"2012-12-30";1;1;12;20;0;0;0;1;0,22;0,197;0,47;0,3284;9;63;72
"7783";7783;"2011-11-25";4;0;11;21;0;5;1;1;0,36;0,3788;0,71;0;24;61;85
"15315";15315;"2012-10-05";4;1;10;7;0;5;1;1;0,52;0,5;0,83;0,1045;11;417;428
"5541";5541;"2011-08-23";3;0;8;18;0;2;1;1;0,72;0,6515;0,34;0,194;98;421;519
"7867";7867;"2011-11-29";4;0;11;10;0;2;1;3;0,56;0,5303;0,73;0,4179;2;34;36
"2184";2184;"2011-04-05";2;0;4;20;0;2;1;1;0,34;0,3182;0,46;0,2836;4;87;91
"10118";10118;"2012-03-02";1;1;3;15;0;5;1;2;0,42;0,4242;0,5;0,2985;5;73;78
"14563";14563;"2012-09-03";3;1;9;23;1;1;0;2;0,7;0,6667;0,84;0,2537;12;58;70
"11832";11832;"2012-05-13";2;1;5;4;0;0;0;2;0,54;0,5152;0,68;0,194;2;7;9
"12716";12716;"2012-06-19";2;1;6;0;0;2;1;2;0,6;0,5758;0,78;0,1642;5;30;35
"3455";3455;"2011-05-28";2;0;5;20;0;6;0;1;0,7;0,6515;0,65;0,2239;68;128;196
"7787";7787;"2011-11-26";4;0;11;1;0;6;0;1;0,32;0,3333;0,76;0,0896;5;24;29
"9592";9592;"2012-02-09";1;1;2;14;0;4;1;1;0,32;0,303;0,39;0,2985;18;126;144
"8100";8100;"2011-12-09";4;0;12;3;0;5;1;1;0,22;0,2727;0,8;0;1;5;6
"8646";8646;"2012-01-01";1;1;1;0;0;0;0;1;0,36;0,3788;0,66;0;5;43;48
"9503";9503;"2012-02-05";1;1;2;20;0;0;0;1;0,28;0,2727;0,56;0,194;3;47;50
"8467";8467;"2011-12-24";1;0;12;10;0;6;0;1;0,3;0,2576;0,42;0,4925;4;52;56
"1643";1643;"2011-03-13";1;0;3;23;0;0;0;1;0,26;0,2576;0,65;0,2239;5;23;28
"14696";14696;"2012-09-09";3;1;9;12;0;0;0;1;0,66;0,6212;0,47;0;247;510;757
"16291";16291;"2012-11-16";4;1;11;12;0;5;1;1;0,4;0,4091;0,43;0,2836;28;262;290
"5823";5823;"2011-09-05";3;0;9;1;1;1;0;2;0,68;0,6364;0,79;0,1045;19;35;54
"12015";12015;"2012-05-20";2;1;5;19;0;0;0;1;0,66;0,6212;0,61;0,4179;142;260;402
"5195";5195;"2011-08-09";3;0;8;8;0;2;1;1;0,74;0,697;0,66;0;40;352;392
"7216";7216;"2011-11-02";4;0;11;6;0;3;1;1;0,3;0,3333;0,81;0;1;91;92
"9464";9464;"2012-02-04";1;1;2;5;0;6;0;1;0,24;0,2576;0,81;0,0896;1;3;4
"8057";8057;"2011-12-07";4;0;12;8;0;3;1;3;0,44;0,4394;1;0;6;80;86
"8803";8803;"2012-01-07";1;1;1;14;0;6;0;1;0,5;0,4848;0,42;0,2836;156;356;512
"3853";3853;"2011-06-14";2;0;6;10;0;2;1;1;0,62;0,6212;0,46;0,2239;33;97;130
"17196";17196;"2012-12-24";1;1;12;7;0;1;1;1;0,2;0,2576;0,69;0;3;27;30
"16811";16811;"2012-12-08";4;1;12;5;0;6;0;2;0,36;0,3636;0,93;0,1045;2;4;6
"6087";6087;"2011-09-16";3;0;9;4;0;5;1;1;0,4;0,4091;0,71;0,2836;1;3;4
"9221";9221;"2012-01-25";1;1;1;2;0;3;1;1;0,28;0,2727;0,7;0,194;3;3;6
"17191";17191;"2012-12-24";1;1;12;1;0;1;1;1;0,22;0,2727;0,69;0;0;11;11
"9568";9568;"2012-02-08";1;1;2;14;0;3;1;2;0,3;0,303;0,56;0,1642;8;100;108
"5335";5335;"2011-08-15";3;0;8;4;0;1;1;1;0,6;0,5606;0,83;0,1343;1;4;5
"7574";7574;"2011-11-17";4;0;11;4;0;4;1;2;0,4;0,4091;0,62;0,4179;1;3;4
"14570";14570;"2012-09-04";3;1;9;6;0;2;1;2;0,68;0,6364;0,89;0,1045;7;165;172
"2011";2011;"2011-03-29";2;0;3;15;0;2;1;1;0,38;0,3939;0,25;0,2239;22;65;87
